"flex href","align-center src","truncate","bg-gray-med_light","ml-1 href","align-center src 2","truncate 2","truncate 3","truncate href","text-black-main","flex-center","flex-center 2","flex-center 3","bg-gray-light","next-m:flex href","flex","min-mt:order-3 src","participant-name","participant-name 2","height-content","height-content 2","height-content 3","height-content 4","h-[18px] src"
"","","","","","","","","","","","","","","https://www.oddsportal.com/football/usa/usl-championship/colorado-springs-louisville-city-WUw6U0Aj/","06:00","https://www.oddsportal.com/serve/images/team-logo/Men/6ZRTQ9Rt-besk20Rs.png?250704131425","Colorado Springs","Louisville City","2.82","3.44","2.24","18","https://www.oddsportal.com/serve/images/team-logo/Men/t4jQEGoh-dneN6tJQ.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/world/","https://cci2.oddsportal.com/country-flags/8.svg","World","FIFA Club World Cup","https://www.oddsportal.com/football/world/fifa-club-world-cup/","Tomorrow, 05 Jul  - Play Offs","1","X","2","B's","https://www.oddsportal.com/football/world/fifa-club-world-cup/palmeiras-chelsea-Gln6EMZ2/","06:00","https://www.oddsportal.com/serve/images/team-logo/Men/8UedPmlh-ALgHCh57.png?250704131425","Palmeiras","Chelsea","4.04","3.27","2.02","18","https://www.oddsportal.com/serve/images/team-logo/Men/4rCw0wTc-IROrZEJb.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/usa/","https://cci2.oddsportal.com/country-flags/us.svg","USA","MLS","https://www.oddsportal.com/football/usa/mls/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/usa/mls/colorado-rapids-sporting-kansas-city-4f6vnOJs/","06:30","https://www.oddsportal.com/serve/images/team-logo/Men/xGalSfl9-fyzFgPy8.png?250704131425","Colorado Rapids","Sporting Kansas City","1.71","4.11","4.40","19","https://www.oddsportal.com/serve/images/team-logo/Men/jiFTSeVE-88w2wUnG.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/new-zealand/","https://cci2.oddsportal.com/country-flags/nz.svg","New Zealand","Chatham Cup","https://www.oddsportal.com/football/new-zealand/chatham-cup/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/new-zealand/chatham-cup/auckland-united-melville-zFIfYnH7/","07:00","https://www.oddsportal.com/serve/images/team-logo/Men/GnvTU4Rt-2cNsxef8.png?250704131425","Auckland United","Melville","1.19","6.35","10.23","6","https://www.oddsportal.com/serve/images/team-logo/Men/zqVQg86n-Ymd6OyQ8.png?250704131425"
"","","","","","","","","","","","","","","https://www.oddsportal.com/football/new-zealand/chatham-cup/western-suburbs-palmerston-north-united-fc-dK3kfUwR/","07:00","https://www.oddsportal.com/serve/images/team-logo/Men/zsdrn3WE-IPe6Wjw2.png?250704131425","Western Suburbs","Palmerston North United","1.06","10.67","21.33","3","https://www.oddsportal.com/serve/images/team-logo/Men/84eGvnl9-r5xtrlSh.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/australia/","https://cci2.oddsportal.com/country-flags/au.svg","Australia","Capital Premier League","https://www.oddsportal.com/football/australia/capital-premier-league/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/australia/capital-premier-league/wagga-city-wanderers-belconnen-united-dSiuZ4le/","07:30","https://www.oddsportal.com/serve/images/team-logo/Men/tfs2D3VE-xKoISIPB.png?250704131425","Wagga City Wanderers","Belconnen Utd.","5.53","5.08","1.37","8","https://www.oddsportal.com/serve/images/team-logo/Men/fui6Mqoh-tQF3AGnP.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/usa/","https://cci2.oddsportal.com/country-flags/us.svg","USA","MLS","https://www.oddsportal.com/football/usa/mls/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/usa/mls/los-angeles-galaxy-vancouver-whitecaps-OdMup2lf/","07:30","https://www.oddsportal.com/serve/images/team-logo/Men/xnH6qbWE-nqhLBCKD.png?250704131425","Los Angeles Galaxy","Vancouver Whitecaps","2.27","3.56","3.00","19","https://www.oddsportal.com/serve/images/team-logo/Men/jVuBoMRt-nJrkMuTE.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/usa/","https://cci2.oddsportal.com/country-flags/us.svg","USA","USL Championship","https://www.oddsportal.com/football/usa/usl-championship/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/usa/usl-championship/phoenix-rising-lexington-pY5Iw5m4/","07:30","https://www.oddsportal.com/serve/images/team-logo/Men/p63y4ciQ-zsnM40G6.png?250704131425","Phoenix Rising","Lexington","1.89","3.31","3.85","18","https://www.oddsportal.com/serve/images/team-logo/Men/CYiITVmh-tAm66yPF.png?250704131425"
"","","","","","","","","","","","","","","https://www.oddsportal.com/football/usa/usl-championship/las-vegas-lights-sacramento-republic-6mfRyqIG/","07:30","https://www.oddsportal.com/serve/images/team-logo/Men/S8xPtB5n-v55eKuYK.png?250704131425","Las Vegas Lights","Sacramento Republic","3.36","3.19","2.08","18","https://www.oddsportal.com/serve/images/team-logo/Men/QgOD5kTE-UwOOyWmL.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/australia/","https://cci2.oddsportal.com/country-flags/au.svg","Australia","NPL NSW","https://www.oddsportal.com/football/australia/npl-nsw/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/australia/npl-nsw/western-sydney-wanderers-apia-leichhardt-8UX7OWKl/","08:00","https://www.oddsportal.com/serve/images/team-logo/Men/QP1VXDVE-x8XKEGdd.png?250704131425","WS Wanderers U23","APIA Leichhardt","5.94","5.20","1.36","17","https://www.oddsportal.com/serve/images/team-logo/Men/SQkDcyUc-t4Myr8RK.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/australia/","https://cci2.oddsportal.com/country-flags/au.svg","Australia","NPL Northern NSW","https://www.oddsportal.com/football/australia/npl-northern-nsw/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/australia/npl-northern-nsw/edgeworth-eagles-fc-maitland-8CQVhhIr/","09:00","https://www.oddsportal.com/serve/images/team-logo/Men/zsibt2AK-2JY3p2Cc.png?250704131425","Edgeworth E.","Maitland","1.42","4.62","5.46","16","https://www.oddsportal.com/serve/images/team-logo/Men/McW70hQt-C6c15zXu.png?250704131425"
"","","","","","","","","","","","","","","https://www.oddsportal.com/football/australia/npl-northern-nsw/weston-workers-bears-belmont-swansea-united-CjUMeFZF/","09:00","https://www.oddsportal.com/serve/images/team-logo/Men/EiNjvb7n-drmCN0mJ.png?250704131425","Weston Bears","Belmont Swansea Utd.","1.32","5.56","6.17","16","https://www.oddsportal.com/serve/images/team-logo/Men/Ig53DlhQ-OGu4c6Vt.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/australia-oceania/","https://cci2.oddsportal.com/country-flags/7.svg","Australia & Oceania","OFC Nations Cup Women","https://www.oddsportal.com/football/australia-oceania/ofc-nations-cup-women/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/australia-oceania/ofc-nations-cup-women/tonga-vanuatu-rqWaIbMs/","09:00","https://www.oddsportal.com/serve/images/team-logo/Women/nko0HORc-AFx4W13P.png?250704131425","Tonga W","Vanuatu W","1.81","3.52","3.81","2",""
